MethStat;context;C;CG;CHG;CHH;CA;CC;CT;CH;CW
mean_mC;global;0.0798;0.3719;0.0465;0.0403;0.0891;0.0071;0.0241;0.0419;0.0559
sd_mCbyChr;global;0.0078;0.0341;0.0163;0.0110;0.0252;0.0049;0.0076;0.0096;0.0148
count_C;global;10000;1147;2332;6521;3090;2539;3224;8853;6314
contrib_mC;global;1.0000;0.5348;0.1360;0.3292;0.3452;0.0228;0.0973;0.4652;0.4424
quant_mC;[0];8266;471;2012;5783;2422;2421;2952;7795;5374
quant_mC;(0.00,0.20];705;182;155;368;272;97;154;523;426
quant_mC;(0.20,0.40];238;67;64;107;119;6;46;171;165
quant_mC;(0.40,0.60];147;44;29;74;75;4;24;103;99
quant_mC;(0.60,0.80];103;33;16;54;55;2;13;70;68
quant_mC;(0.80,1.00];541;350;56;135;147;9;35;191;182
mean_mC_byChr;chr1;0.0840;0.4181;0.0340;0.0412;0.0794;0.0065;0.0251;0.0393;0.0513
mean_mC_byChr;chr10;0.0917;0.4106;0.0758;0.0421;0.0968;0.0097;0.0349;0.0502;0.0655
mean_mC_byChr;chr11;0.0732;0.3810;0.0415;0.0290;0.0595;0.0083;0.0264;0.0326;0.0429
mean_mC_byChr;chr12;0.0798;0.3269;0.0722;0.0395;0.1056;0.0122;0.0181;0.0476;0.0600
mean_mC_byChr;chr13;0.0824;0.3572;0.0272;0.0467;0.0877;0.0174;0.0163;0.0420;0.0515
mean_mC_byChr;chr14;0.0664;0.3164;0.0343;0.0372;0.0617;0.0003;0.0395;0.0365;0.0506
mean_mC_byChr;chr15;0.0860;0.3959;0.0690;0.0323;0.0974;0.0024;0.0211;0.0411;0.0557
mean_mC_byChr;chr16;0.0735;0.3151;0.0362;0.0443;0.1056;0.0097;0.0132;0.0423;0.0556
mean_mC_byChr;chr17;0.0911;0.3474;0.0583;0.0566;0.1262;0.0019;0.0287;0.0570;0.0795
mean_mC_byChr;chr18;0.0720;0.3601;0.0319;0.0373;0.0579;0.0105;0.0339;0.0357;0.0461
mean_mC_byChr;chr19;0.0811;0.3433;0.0648;0.0332;0.1023;0.0013;0.0236;0.0428;0.0622
mean_mC_byChr;chr2;0.0776;0.3770;0.0371;0.0411;0.0927;0.0079;0.0184;0.0400;0.0538
mean_mC_byChr;chr3;0.0740;0.4122;0.0416;0.0368;0.0891;0.0046;0.0181;0.0381;0.0531
mean_mC_byChr;chr4;0.0926;0.3402;0.0595;0.0742;0.1548;0.0000;0.0170;0.0708;0.1023
